,date,temp,sensedTemp,cover,windDirection,windSpeed,maxWindSpeed,cloudy%,rain,humidity%,snow
0,2021-11-10 03:00:00,3.0,-1.0,Zachmurzenie małe,SSE,13,20.0,11.0,0.0,81.0,
1,2021-11-10 04:00:00,3.0,-1.0,Zachmurzenie małe,S,13,20.0,11.0,0.0,81.0,
2,2021-11-10 05:00:00,3.0,-1.0,Zachmurzenie małe,S,15,20.0,12.0,0.0,86.0,
3,2021-11-10 06:00:00,3.0,-2.0,Zachmurzenie małe,S,17,22.0,24.0,0.0,82.0,
4,2021-11-10 07:00:00,3.0,-2.0,Zachmurzenie umiarkowane,SSW,17,22.0,36.0,0.0,84.0,
5,2021-11-10 08:00:00,3.0,-2.0,Częściowo słonecznie,SSW,20,26.0,47.0,0.0,84.0,
6,2021-11-10 09:00:00,4.0,-1.0,Przejściowe zachmurzenie,SSW,22,28.0,59.0,0.0,82.0,
7,2021-11-10 10:00:00,5.0,0.0,Przejściowe zachmurzenie,SSW,22,30.0,71.0,0.0,78.0,
8,2021-11-10 11:00:00,6.0,1.0,Zachmurzenie duże,SSW,22,30.0,80.0,0.0,72.0,
9,2021-11-10 12:00:00,6.0,2.0,Pochmurno,SSW,22,30.0,90.0,0.0,68.0,
10,2021-11-10 13:00:00,7.0,2.0,Pochmurno,SSW,20,28.0,100.0,0.0,67.0,
11,2021-11-10 14:00:00,8.0,4.0,Pochmurno,SSW,20,26.0,93.0,0.0,65.0,
12,2021-11-10 15:00:00,7.0,3.0,Zachmurzenie duże,SSW,18,26.0,86.0,0.0,74.0,
13,2021-11-10 16:00:00,6.0,2.0,Zachmurzenie duże,SSW,18,24.0,79.0,0.0,82.0,
14,2021-11-10 17:00:00,6.0,2.0,Przejściowe zachmurzenie,SSW,17,22.0,56.0,0.0,95.0,
15,2021-11-10 18:00:00,5.0,2.0,Zachmurzenie umiarkowane,SSW,15,20.0,33.0,0.0,94.0,
16,2021-11-10 19:00:00,5.0,1.0,Zachmurzenie umiarkowane,SSW,15,20.0,46.0,0.0,93.0,
17,2021-11-10 20:00:00,4.0,1.0,Zachmurzenie umiarkowane,SSW,15,18.0,46.0,0.0,93.0,
18,2021-11-10 21:00:00,4.0,0.0,Przejściowe zachmurzenie,SSW,13,18.0,60.0,0.0,92.0,
19,2021-11-10 22:00:00,4.0,0.0,Przejściowe zachmurzenie,SSW,13,18.0,70.0,0.0,91.0,
20,2021-11-10 23:00:00,3.0,0.0,Przejściowe zachmurzenie,SSW,11,18.0,70.0,0.0,95.0,
21,2021-11-11 00:00:00,2.0,0.0,Przejściowe zachmurzenie,SSW,9,15.0,70.0,0.0,98.0,
22,2021-11-11 01:00:00,2.0,1.0,Zachmurzenie duże,SW,9,13.0,76.0,0.0,100.0,
23,2021-11-11 02:00:00,1.0,0.0,Zachmurzenie duże,SSW,9,11.0,76.0,0.0,100.0,
24,2021-11-11 03:00:00,1.0,0.0,Zachmurzenie duże,SSW,9,11.0,76.0,0.0,100.0,
25,2021-11-11 04:00:00,1.0,-1.0,Mgła,SSW,9,11.0,76.0,0.0,100.0,
26,2021-11-11 05:00:00,0.0,-1.0,Mgła,SSW,9,11.0,76.0,0.0,100.0,
27,2021-11-11 06:00:00,0.0,-1.0,Mgła,SSW,7,11.0,76.0,0.0,100.0,
28,2021-11-11 07:00:00,0.0,-1.0,Pochmurno,SW,7,11.0,90.0,0.0,100.0,
29,2021-11-11 08:00:00,1.0,0.0,Pochmurno,SSW,7,11.0,90.0,0.0,100.0,
30,2021-11-11 09:00:00,3.0,2.0,Pochmurno,SSW,7,11.0,90.0,0.0,100.0,
31,2021-11-11 10:00:00,5.0,5.0,Zachmurzenie duże,SSW,7,9.0,89.0,0.0,92.0,
32,2021-11-11 11:00:00,6.0,7.0,Zachmurzenie duże,SSW,7,9.0,82.0,0.0,80.0,
33,2021-11-11 12:00:00,8.0,8.0,Zachmurzenie duże,SW,7,9.0,76.0,0.0,71.0,
34,2021-11-11 13:00:00,9.0,10.0,Przejściowe zachmurzenie,SW,7,9.0,66.0,0.0,62.0,
35,2021-11-11 14:00:00,8.0,10.0,Przejściowe zachmurzenie,SW,7,9.0,70.0,0.0,70.0,
36,2021-11-11 15:00:00,7.0,9.0,Przejściowe zachmurzenie,SW,6,9.0,70.0,0.0,78.0,
37,2021-11-11 16:00:00,6.0,7.0,Przejściowe zachmurzenie,SW,6,9.0,70.0,0.0,90.0,
38,2021-11-11 17:00:00,5.0,6.0,Przejściowe zachmurzenie,SW,6,7.0,70.0,0.0,100.0,
39,2021-11-11 18:00:00,5.0,5.0,Przejściowe zachmurzenie,SW,6,9.0,70.0,0.0,100.0,
40,2021-11-11 19:00:00,4.0,4.0,Zachmurzenie duże,SW,6,9.0,88.0,0.0,100.0,
41,2021-11-11 20:00:00,4.0,4.0,Zachmurzenie duże,SW,6,9.0,89.0,0.0,100.0,
42,2021-11-11 21:00:00,3.0,4.0,Pochmurno,WSW,6,7.0,91.0,0.0,99.0,
43,2021-11-11 22:00:00,3.0,3.0,Pochmurno,W,6,7.0,93.0,0.0,96.0,
44,2021-11-11 23:00:00,2.0,3.0,Zachmurzenie duże,W,6,7.0,75.0,0.0,97.0,
45,2021-11-12 00:00:00,2.0,3.0,Przejściowe zachmurzenie,W,6,7.0,57.0,0.0,98.0,
46,2021-11-12 01:00:00,2.0,2.0,Zachmurzenie umiarkowane,W,6,7.0,39.0,0.0,100.0,
47,2021-11-12 02:00:00,2.0,2.0,Zachmurzenie umiarkowane,W,6,7.0,42.0,0.0,100.0,
48,2021-11-12 03:00:00,1.0,2.0,Zachmurzenie umiarkowane,W,6,7.0,45.0,0.0,100.0,
49,2021-11-12 04:00:00,1.0,2.0,Zachmurzenie umiarkowane,W,6,7.0,48.0,0.0,100.0,
50,2021-11-12 05:00:00,0.0,1.0,Zachmurzenie umiarkowane,W,6,7.0,49.0,0.0,100.0,
51,2021-11-12 06:00:00,1.0,2.0,Przejściowe zachmurzenie,NW,6,7.0,51.0,0.0,100.0,
52,2021-11-12 07:00:00,2.0,2.0,Zachmurzenie duże,NNW,6,7.0,76.0,0.0,100.0,
53,2021-11-12 08:00:00,2.0,3.0,Zachmurzenie duże,NNW,6,7.0,76.0,0.0,100.0,
54,2021-11-12 09:00:00,4.0,4.0,Przelotne opady,NNW,6,7.0,76.0,0.3,95.0,
55,2021-11-12 10:00:00,6.0,7.0,Zachmurzenie duże,NNW,6,7.0,76.0,0.0,86.0,
56,2021-11-12 11:00:00,7.0,9.0,Zachmurzenie duże,N,6,9.0,76.0,0.0,78.0,
57,2021-11-12 12:00:00,8.0,9.0,Zachmurzenie duże,N,7,9.0,76.0,0.0,73.0,
58,2021-11-12 13:00:00,9.0,11.0,Przejściowe zachmurzenie,N,7,11.0,58.0,0.0,70.0,
59,2021-11-12 14:00:00,8.0,9.0,Częściowo słonecznie,N,7,11.0,46.0,0.0,74.0,
60,2021-11-12 15:00:00,7.0,7.0,Częściowo słonecznie,N,9,11.0,46.0,0.0,80.0,
61,2021-11-12 16:00:00,6.0,5.0,Częściowo słonecznie,NNE,9,11.0,46.0,0.0,89.0,
62,2021-11-12 17:00:00,5.0,4.0,Zachmurzenie umiarkowane,NNE,7,11.0,46.0,0.0,93.0,
63,2021-11-12 18:00:00,4.0,4.0,Zachmurzenie umiarkowane,NNE,7,9.0,46.0,0.0,92.0,
64,2021-11-12 19:00:00,4.0,4.0,Bezchmurnie,NNE,7,9.0,2.0,0.0,90.0,
65,2021-11-12 20:00:00,3.0,3.0,Zachmurzenie małe,NE,7,9.0,14.0,0.0,90.0,
66,2021-11-12 21:00:00,3.0,3.0,Zachmurzenie małe,NE,7,9.0,26.0,0.0,92.0,
67,2021-11-12 22:00:00,3.0,3.0,Zachmurzenie umiarkowane,ENE,7,9.0,38.0,0.0,92.0,
68,2021-11-12 23:00:00,3.0,3.0,Zachmurzenie umiarkowane,ENE,6,9.0,48.0,0.0,93.0,
69,2021-11-13 00:00:00,2.0,2.0,Przejściowe zachmurzenie,ENE,6,7.0,58.0,0.0,100.0,
70,2021-11-13 01:00:00,3.0,3.0,Przejściowe zachmurzenie,E,6,7.0,68.0,0.0,94.0,
71,2021-11-13 02:00:00,3.0,3.0,Zachmurzenie duże,ESE,6,7.0,78.0,0.0,93.0,
72,2021-11-13 03:00:00,3.0,3.0,Zachmurzenie duże,SE,6,7.0,87.0,0.0,93.0,
73,2021-11-13 04:00:00,3.0,3.0,Pochmurno,SSE,6,7.0,96.0,0.0,91.0,
74,2021-11-13 05:00:00,3.0,3.0,Pochmurno,SSE,6,9.0,97.0,0.0,89.0,
75,2021-11-13 06:00:00,3.0,3.0,Pochmurno,SSE,7,9.0,98.0,0.0,88.0,
76,2021-11-13 07:00:00,3.0,3.0,Przejściowe zachmurzenie,S,7,9.0,70.0,0.0,91.0,
77,2021-11-13 08:00:00,3.0,3.0,Przejściowe zachmurzenie,S,7,9.0,70.0,0.0,93.0,
78,2021-11-13 09:00:00,4.0,5.0,Przejściowe zachmurzenie,SSW,7,9.0,70.0,0.0,91.0,
79,2021-11-13 10:00:00,6.0,7.0,Przejściowe zachmurzenie,SSW,7,9.0,70.0,0.0,86.0,
80,2021-11-13 11:00:00,7.0,8.0,Przejściowe zachmurzenie,SW,7,11.0,70.0,0.0,81.0,
81,2021-11-13 12:00:00,8.0,8.0,Przejściowe zachmurzenie,SW,9,11.0,70.0,0.0,78.0,
82,2021-11-13 13:00:00,8.0,8.0,Przejściowe zachmurzenie,SW,9,11.0,70.0,0.0,76.0,
83,2021-11-13 14:00:00,7.0,7.0,Przejściowe zachmurzenie,SW,9,13.0,70.0,0.0,79.0,
84,2021-11-13 15:00:00,6.0,5.0,Przejściowe zachmurzenie,SSW,9,13.0,70.0,0.0,84.0,
85,2021-11-13 16:00:00,6.0,4.0,Przejściowe zachmurzenie,SSW,9,13.0,70.0,0.0,89.0,
86,2021-11-13 17:00:00,5.0,3.0,Przejściowe zachmurzenie,SSW,9,13.0,70.0,0.0,92.0,
87,2021-11-13 18:00:00,5.0,3.0,Przejściowe zachmurzenie,SW,9,13.0,70.0,0.0,93.0,
88,2021-11-13 19:00:00,4.0,3.0,Pochmurno,SW,9,13.0,100.0,0.0,93.0,
89,2021-11-13 20:00:00,3.0,2.0,Pochmurno,SW,9,13.0,100.0,0.0,97.0,
90,2021-11-13 21:00:00,4.0,3.0,Pochmurno,SW,9,11.0,100.0,0.0,92.0,
91,2021-11-13 22:00:00,5.0,4.0,Pochmurno,SSW,7,11.0,100.0,0.0,88.0,
92,2021-11-13 23:00:00,5.0,4.0,Pochmurno,SSW,7,11.0,100.0,0.0,86.0,
93,2021-11-14 00:00:00,5.0,4.0,Pochmurno,SW,7,11.0,100.0,0.0,83.0,
94,2021-11-14 01:00:00,5.0,4.0,Pochmurno,SW,7,9.0,100.0,0.0,80.0,
95,2021-11-14 02:00:00,5.0,4.0,Pochmurno,WSW,9,11.0,100.0,0.0,75.0,
96,2021-11-14 03:00:00,5.0,3.0,Pochmurno,W,11,13.0,100.0,0.0,69.0,
97,2021-11-14 04:00:00,5.0,2.0,Pochmurno,WNW,13,17.0,100.0,0.0,66.0,
98,2021-11-14 05:00:00,5.0,2.0,Pochmurno,WNW,13,17.0,100.0,0.0,66.0,
99,2021-11-14 06:00:00,5.0,1.0,Pochmurno,WNW,15,18.0,100.0,0.0,68.0,
100,2021-11-14 07:00:00,5.0,1.0,Pochmurno,WNW,15,18.0,100.0,0.0,68.0,
101,2021-11-14 08:00:00,5.0,2.0,Pochmurno,WNW,15,18.0,100.0,0.0,72.0,
102,2021-11-14 09:00:00,5.0,2.0,Pochmurno,NW,13,18.0,100.0,0.0,75.0,
103,2021-11-14 10:00:00,6.0,1.0,Przelotne opady,NW,13,18.0,100.0,0.5,76.0,
104,2021-11-14 11:00:00,6.0,4.0,Pochmurno,NW,13,17.0,100.0,0.0,75.0,
105,2021-11-14 12:00:00,6.0,3.0,Przelotne opady,NW,11,17.0,100.0,0.5,75.0,
106,2021-11-14 13:00:00,7.0,5.0,Pochmurno,NW,11,15.0,100.0,0.0,72.0,
107,2021-11-14 14:00:00,6.0,4.0,Pochmurno,NW,11,15.0,100.0,0.0,74.0,
108,2021-11-14 15:00:00,6.0,4.0,Pochmurno,NW,11,15.0,100.0,0.0,77.0,
109,2021-11-14 16:00:00,5.0,1.0,Przelotne opady,NNW,13,17.0,100.0,0.5,80.0,
110,2021-11-14 17:00:00,5.0,0.0,Przelotne opady,NNW,13,17.0,100.0,0.5,82.0,
111,2021-11-14 18:00:00,5.0,1.0,Pochmurno,N,15,18.0,100.0,0.0,84.0,
112,2021-11-14 19:00:00,4.0,1.0,Pochmurno,N,15,20.0,100.0,0.0,86.0,
113,2021-11-14 20:00:00,4.0,0.0,Lekkie opady śniegu,N,15,20.0,96.0,0.0,88.0,0.05
114,2021-11-14 21:00:00,4.0,0.0,Lekkie opady śniegu,N,13,18.0,92.0,0.0,91.0,0.05
115,2021-11-14 22:00:00,4.0,0.0,Lekkie opady śniegu,N,11,17.0,88.0,0.0,93.0,0.05
116,2021-11-14 23:00:00,3.0,1.0,Zachmurzenie duże,N,11,15.0,84.0,0.0,95.0,
117,2021-11-15 00:00:00,3.0,0.0,Zachmurzenie duże,N,13,17.0,80.0,0.0,96.0,
118,2021-11-15 01:00:00,3.0,0.0,Zachmurzenie duże,NNE,13,17.0,76.0,0.0,97.0,
119,2021-11-15 02:00:00,3.0,0.0,Zachmurzenie duże,NNE,13,17.0,80.0,0.0,98.0,
